segment,name,exchange,isin,instrument_type,instrument_key,lot_size,freeze_quantity,exchange_token,tick_size,trading_symbol,qty_multiplier
"BSE_EQ","RAJKAMAL SYNTHETICS LTD.","BSE","INE376L01013","X","BSE_EQ|INE376L01013","1","100000","514028","1","RAJKSYN","1"
"BSE_EQ","IRFC-7.75%-15-4-33-PVT","BSE","INE053F08270","F","BSE_EQ|INE053F08270","1","100000","974629","1","775IRFC33","1"
"BSE_EQ","HDFCB-8.35%-13-5-26-PVT","BSE","INE040A08500","F","BSE_EQ|INE040A08500","1","100000","953957","1","835HDFCB26","1"
"BSE_FO","SENSEX50","BSE",,"CE","BSE_FO|821348","75","1800","821348","5","SENSEX50 26050 CE 26 FEB 26",
"BSE_EQ","IRFC-7.51%-15-4-26-PVT","BSE","INE053F08288","F","BSE_EQ|INE053F08288","1","100000","974678","1","751IRFC26","1"
"BSE_EQ","COSMO FERRITES LTD.","BSE","INE124B01018","X","BSE_EQ|INE124B01018","1","100000","523100","5","COSMOFE","1"
"BSE_EQ","LBTL-7.70%-31-3-43-PVT","BSE","INE0C5208014","F","BSE_EQ|INE0C5208014","1","100000","976884","1","77LBTL43","1"
"BSE_EQ","LBTL-7.84%-30-9-44-PVT","BSE","INE0C5208022","F","BSE_EQ|INE0C5208022","1","100000","976883","1","784LBTL44","1"
"BSE_EQ","JBC-18-6-26-CP","BSE","INE824H14SL2","F","BSE_EQ|INE824H14SL2","1","100000","730283","1","JBC23925","1"
"BSE_EQ","IRFC-7.74%-15-4-38-PVT","BSE","INE053F08296","F","BSE_EQ|INE053F08296","1","100000","974679","1","774IRFC38","1"