segment,name,exchange,expiry,instrument_type,asset_symbol,underlying_symbol,instrument_key,lot_size,freeze_quantity,exchange_token,asset_key,underlying_key,tick_size,asset_type,underlying_type,trading_symbol,strike_price,last_trading_date,price_quote_unit,qty_multiplier
"MCX_FO","GOLD","MCX","1774376999000","CE","GOLD","GOLD","MCX_FO|472683","1","100","472683","MCX_FO|454818","MCX_FO|454818","50","COM","COM","GOLD 118300 CE 24 MAR 26","118300","1774376999000","GRMS","100"
"MCX_FO","SILVER","MCX","1774549799000","CE","SILVERM","SILVERM","MCX_FO|506661","5","120","506661","MCX_FO|457533","MCX_FO|457533","50","COM","COM","SILVERM 247000 CE 26 MAR 26","247000","1774549799000","KGS","5"
"MCX_FO","SILVER","MCX","1774549799000","CE","SILVERM","SILVERM","MCX_FO|506662","5","120","506662","MCX_FO|457533","MCX_FO|457533","50","COM","COM","SILVERM 247250 CE 26 MAR 26","247250","1774549799000","KGS","5"
"MCX_FO","GOLD","MCX","1774376999000","CE","GOLD","GOLD","MCX_FO|472684","1","100","472684","MCX_FO|454818","MCX_FO|454818","50","COM","COM","GOLD 118400 CE 24 MAR 26","118400","1774376999000","GRMS","100"
"MCX_FO","SILVER","MCX","1774549799000","CE","SILVERM","SILVERM","MCX_FO|506663","5","120","506663","MCX_FO|457533","MCX_FO|457533","50","COM","COM","SILVERM 247500 CE 26 MAR 26","247500","1774549799000","KGS","5"
"MCX_FO","GOLD","MCX","1777573799000","PE","GOLD","GOLD","MCX_FO|531620","1","100","531620","MCX_FO|459277","MCX_FO|459277","50","COM","COM","GOLD 168500 PE 30 APR 26","168500","1777573799000","GRMS","100"
"MCX_FO","SILVER","MCX","1774549799000","CE","SILVERM","SILVERM","MCX_FO|506664","5","120","506664","MCX_FO|457533","MCX_FO|457533","50","COM","COM","SILVERM 247750 CE 26 MAR 26","247750","1774549799000","KGS","5"
"MCX_FO","GOLD","MCX","1772216999000","PE","GOLD","GOLD","MCX_FO|472687","1","100","472687","MCX_FO|454818","MCX_FO|454818","50","COM","COM","GOLD 118100 PE 27 FEB 26","118100","1772216999000","GRMS","100"
"MCX_FO","GOLD","MCX","1772216999000","PE","GOLD","GOLD","MCX_FO|472688","1","100","472688","MCX_FO|454818","MCX_FO|454818","50","COM","COM","GOLD 118200 PE 27 FEB 26","118200","1772216999000","GRMS","100"
"MCX_FO","GOLD","MCX","1772216999000","PE","GOLD","GOLD","MCX_FO|472689","1","100","472689","MCX_FO|454818","MCX_FO|454818","50","COM","COM","GOLD 118300 PE 27 FEB 26","118300","1772216999000","GRMS","100"